11.02.2026         Salida dinámica de lista                                                              1


		Objeto	Denominación del objeto	Creado	Registrado	  Valor/Mon.tr.	MonT
		LCP-110145-BV	TRANSFERENCIA MOLDES	NSA1896	24.04.2013	  1.042.973,00	USD

	*	Ejercicio 2013				  1.042.973,00	USD

		LCP-110145-BV-01	TRANSFERENCIA MOLDES	NSA1896	24.04.2013	  1.042.973,00	USD

	*	Ejercicio 2013				  1.042.973,00	USD

		LCP-110145-EX	GASTOS TRANSFERENCIA MOLDES	NSA1896	24.04.2013	  1.438.919,00	USD

	*	Ejercicio 2013				  1.438.919,00	USD

		LCP-110145-EX-01	GASTOS TRANSFERENCIA MOLDES	NSA1896	24.04.2013	    287.278,00	USD

	*	Ejercicio 2013				    287.278,00	USD

		LCP-110145-EX-02	REWORK MOLDS	NSA1896	24.04.2013	    967.280,00	USD

	*	Ejercicio 2013				    967.280,00	USD

		LCP-110145-EX-03	CENTER SLEEVES	NSA1896	24.04.2013	     12.840,00	USD

	*	Ejercicio 2013				     12.840,00	USD

		LCP-110145-EX-04	PREPARACION DE EQUIPOS	NSA1896	24.04.2013	     92.127,00	USD

	*	Ejercicio 2013				     92.127,00	USD

		LCP-110145-EX-05	LABORATORIO	NSA1896	24.04.2013	     74.900,00	USD

	*	Ejercicio 2013				     74.900,00	USD

		LCP-110145-EX-06	TESTING NEW PRODUCTS	NSA1896	24.04.2013	      4.494,00	USD

	*	Ejercicio 2013				      4.494,00	USD

		LCP-110150	52 PRODUCTION MOLD FROM NAT (STATESVILLE	NSA1896	24.04.2013	    416.230,00	USD

	*	Ejercicio 2013				    416.230,00	USD

		LCP-110150-04	RACK TO STORAGE MOLD	NSA1896	24.04.2013	     26.750,00	USD

	*	Ejercicio 2013				     26.750,00	USD

		LCP-110150-05	16 AND 17  TAMBOR	NSA1896	24.04.2013	    347.750,00	USD

	*	Ejercicio 2013				    347.750,00	USD

		LCP-110150-08	FVM RING 16  17	NSA1896	24.04.2013	     41.730,00	USD

	*	Ejercicio 2013				     41.730,00	USD

		LCP-110150-BV	52 MOLDES DE NAT (STATESVILLE)	NSA1896	24.04.2013	  1.094.590,00	USD

	*	Ejercicio 2013				  1.094.590,00	USD

		LCP-110150-BV-01	52 MOLDES DE NAT (STATESVILLE)	NSA1896	24.04.2013	  1.094.590,00	USD

	*	Ejercicio 2013				  1.094.590,00	USD

		LCP-110150-EX	PAKING AND DUTIS 52 MOLD	NSA1896	24.04.2013	    868.628,00	USD

	*	Ejercicio 2013				    868.628,00	USD

		LCP-110150-EX-01	PAKING AND DUTIS 52 MOLD	NSA1896	24.04.2013	    396.177,00	USD

	*	Ejercicio 2013				    396.177,00	USD

		LCP-110150-EX-02	REWORK MOLD AND NEW MOLD RING	NSA1896	24.04.2013	    321.000,00	USD

	*	Ejercicio 2013				    321.000,00	USD

		LCP-110150-EX-03	ALL DRUMS AND EQ, BY AIR	NSA1896	24.04.2013	     47.936,00	USD

	*	Ejercicio 2013				     47.936,00	USD

		LCP-110150-EX-04	DIE/SPLICE BAR/ TOOLS	NSA1896	24.04.2013	     85.065,00	USD

	*	Ejercicio 2013				     85.065,00	USD

		LCP-110150-EX-05	LABORATORY TIRE RIM DINAM. STA	NSA1896	24.04.2013	     13.956,00	USD

	*	Ejercicio 2013				     13.956,00	USD

		LCP-110150-EX-06	EXPENSES TESTING NEW PRODUCTS	NSA1896	24.04.2013	      4.494,00	USD

	*	Ejercicio 2013				      4.494,00	USD

		LCP-110309	NEW VIDEO CONFERENCE ROOM - CHILE HEADQU	NSA1896	24.04.2013	     20.000,00	USD

	*	Ejercicio 2013				     20.000,00	USD

		LCP-110309-01	SERVER HP PROLIANT DL 180	NSA1896	24.04.2013	     11.500,00	USD

	*	Ejercicio 2013				     11.500,00	USD

		LCP-110309-02	LICENSE AND INTALLATION	NSA1896	24.04.2013	      4.500,00	USD

	*	Ejercicio 2013				      4.500,00	USD

		LCP-110309-03	CONTINGENCIA CAPITAL	NSA1896	24.04.2013	      4.000,00	USD

	*	Ejercicio 2013				      4.000,00	USD

		LCP-110707	SAFETY IMPROVEMENT IN MIXING AREA	NSA1896	24.04.2013	    129.790,00	USD

	*	Ejercicio 2013				    129.790,00	USD

		LCP-110707-01	ELECTRICAL INSTALLATION	NSA1896	24.04.2013	     10.775,00	USD

	*	Ejercicio 2013				     10.775,00	USD

		LCP-110707-02	MECHANICAL INSTALLATION	NSA1896	24.04.2013	     43.532,00	USD

	*	Ejercicio 2013				     43.532,00	USD

		LCP-110707-03	MATERIALS	NSA1896	24.04.2013	     47.054,00	USD

	*	Ejercicio 2013				     47.054,00	USD

		LCP-110707-05	INSTALLATION	NSA1896	24.04.2013	      6.129,00	USD

	*	Ejercicio 2013				      6.129,00	USD

		LCP-110707-06	UPS	NSA1896	24.04.2013	      3.800,00	USD

	*	Ejercicio 2013				      3.800,00	USD

		LCP-110707-11	ENGENEERING SERVICE	NSA1896	24.04.2013	     18.500,00	USD

	*	Ejercicio 2013				     18.500,00	USD

		LCP-110707-EX	START UP	NSA1896	24.04.2013	     10.800,00	USD

	*	Ejercicio 2013				     10.800,00	USD

		LCP-110707-EX-01	START UP	NSA1896	24.04.2013	     10.000,00	USD

	*	Ejercicio 2013				     10.000,00	USD

		LCP-110707-EX-02	CONTINGENCIA 8% EXPENSES	NSA1896	24.04.2013	        800,00	USD

	*	Ejercicio 2013				        800,00	USD

		LCP-110713	FUEL MAX WAVE 4 GROUP 2 (52) MOLD FROM N	NSA1896	24.04.2013	     26.215,00	USD

	*	Ejercicio 2013				     26.215,00	USD

		LCP-110713-04	RACK FOR STORAGE	NSA1896	24.04.2013	     16.050,00	USD

	*	Ejercicio 2013				     16.050,00	USD

		LCP-110713-07	FVM RING 16  Y 17	NSA1896	24.04.2013	     10.165,00	USD

	*	Ejercicio 2013				     10.165,00	USD

		LCP-110713-BV	TRANSFERENCIA DE MOLDES 52 MOL	NSA1896	24.04.2013	  1.120.125,00	USD

	*	Ejercicio 2013				  1.120.125,00	USD

		LCP-110713-BV-01	TRANSFERENCIA DE MOLDES 52 MOL	NSA1896	24.04.2013	  1.120.125,00	USD

	*	Ejercicio 2013				  1.120.125,00	USD

		LCP-110713-EX	FLETES, EMBALAJES Y DERECHOS	NSA1896	24.04.2013	  1.023.466,00	USD

	*	Ejercicio 2013				  1.023.466,00	USD

		LCP-110713-EX-01	FLETES, EMBALAJES Y DERECHOS	NSA1896	24.04.2013	    215.210,00	USD

	*	Ejercicio 2013				    215.210,00	USD

		LCP-110713-EX-02	REWORK MOLD IN CHILE	NSA1896	24.04.2013	    452.182,00	USD

	*	Ejercicio 2013				    452.182,00	USD

		LCP-110713-EX-03	BUILDING EQUIPMENT	NSA1896	24.04.2013	    291.810,00	USD

	*	Ejercicio 2013				    291.810,00	USD

		LCP-110713-EX-04	PREPARATION EQUIPMENT	NSA1896	24.04.2013	     52.922,00	USD

	*	Ejercicio 2013				     52.922,00	USD

		LCP-110713-EX-05	PRUEBAS DE LABORATORIO	NSA1896	24.04.2013	      6.848,00	USD

	*	Ejercicio 2013				      6.848,00	USD

		LCP-110713-EX-06	TESTING NEW PRODUCT	NSA1896	24.04.2013	      4.494,00	USD

	*	Ejercicio 2013				      4.494,00	USD

		LCP-110780	UPGRADE ROGERS 42  PRESSES LOADERS	NSA1896	24.04.2013	    235.587,00	USD

	*	Ejercicio 2013				    235.587,00	USD

		LCP-110780-01	NEW LOADERS	NSA1896	24.04.2013	    229.369,39	USD

	*	Ejercicio 2013				    229.369,39	USD

		LCP-110780-02	NECHANICAL INSTALATIONS	NSA1896	24.04.2013	      3.870,10	USD

	*	Ejercicio 2013				      3.870,10	USD

		LCP-110780-03	NECHANICAL ALIGNMENT	NSA1896	24.04.2013	      2.347,51	USD

	*	Ejercicio 2013				      2.347,51	USD

		LCP-110780-EX	START UP	NSA1896	24.04.2013	      3.938,00	USD

	*	Ejercicio 2013				      3.938,00	USD

		LCP-110780-EX-01	START UP	NSA1896	24.04.2013	      3.750,00	USD

	*	Ejercicio 2013				      3.750,00	USD

		LCP-110780-EX-02	CONTINGENCY 5% START UP	NSA1896	24.04.2013	        188,00	USD

	*	Ejercicio 2013				        188,00	USD

		LCP-110849	WAVE5 PART 1-EAGLE GT LINE	NSA1896	24.04.2013	    497.540,00	USD

	*	Ejercicio 2013				    497.540,00	USD

		LCP-110849-04	RACK TO STORAGE	NSA1896	24.04.2013	      5.350,00	USD

	*	Ejercicio 2013				      5.350,00	USD

		LCP-110849-05	BUILDING EQUIPMENT	NSA1896	24.04.2013	    474.000,00	USD

	*	Ejercicio 2013				    474.000,00	USD

		LCP-110849-08	FVM RING 16 &20	NSA1896	24.04.2013	     18.190,00	USD

	*	Ejercicio 2013				     18.190,00	USD

		LCP-110849-BV	MOLDS TRANFERENCE	NSA1896	24.04.2013	    417.300,00	USD

	*	Ejercicio 2013				    417.300,00	USD

		LCP-110849-BV-01	MOLDS TRANFERENCE	NSA1896	24.04.2013	    417.300,00	USD

	*	Ejercicio 2013				    417.300,00	USD

		LCP-110849-EX	FLETES, EMBALAJES Y DERECHOS	NSA1896	24.04.2013	    364.763,00	USD

	*	Ejercicio 2013				    364.763,00	USD

		LCP-110849-EX-01	FLETES, EMBALAJES Y DERECHOS	NSA1896	24.04.2013	     78.324,00	USD

	*	Ejercicio 2013				     78.324,00	USD

		LCP-110849-EX-02	REWORK EXISTING MOLDS IN CHILE	NSA1896	24.04.2013	    165.422,00	USD

	*	Ejercicio 2013				    165.422,00	USD

		LCP-110849-EX-03	CENTER SLEEVES FOR 16 &20  HCF	NSA1896	24.04.2013	     12.840,00	USD

	*	Ejercicio 2013				     12.840,00	USD

		LCP-110849-EX-04	PREPARATION EQUIPMENT	NSA1896	24.04.2013	     92.127,00	USD

	*	Ejercicio 2013				     92.127,00	USD

		LCP-110849-EX-05	PRUEBAS DE LABORATORIO	NSA1896	24.04.2013	     11.556,00	USD

	*	Ejercicio 2013				     11.556,00	USD

		LCP-110849-EX-06	TESTING NEW PRODUCTS	NSA1896	24.04.2013	      4.494,00	USD

	*	Ejercicio 2013				      4.494,00	USD

		LCP-110853	80 PRODUCTION MOLDS FROM NAT	NSA1896	24.04.2013	    128.400,00	USD
		LCP-110853	80 PRODUCTION MOLDS FROM NAT	AA04148	02.07.2013	-96.300,00	USD

	*	Ejercicio 2013				     32.100,00	USD

		LCP-110853-04	RACK TO STORAGE	NSA1896	24.04.2013	     32.100,00	USD

	*	Ejercicio 2013				     32.100,00	USD

		LCP-110853-06	CENTER SLEEVE 16 &17  FOR HVA	NSA1896	24.04.2013	     96.300,00	USD
		LCP-110853-06	CENTER SLEEVE 16 &17  FOR HVA	AA04641	02.07.2013	-96.300,00	USD
		LCP-110853-06	CENTER SLEEVE 16 &17  FOR HVA	AA04641	02.07.2013	     96.300,00	USD
		LCP-110853-06	CENTER SLEEVE 16 &17  FOR HVA	AA04641	02.07.2013	-96.300,00	USD

	*	Ejercicio 2013				          0,00	USD

		LCP-110853-BV	MOLD TRANSFER FRON NAT	NSA1896	24.04.2013	  1.506.558,00	USD

	*	Ejercicio 2013				  1.506.558,00	USD

		LCP-110853-BV-01	MOLD TRANSFER FRON NAT	NSA1896	24.04.2013	  1.506.558,00	USD

	*	Ejercicio 2013				  1.506.558,00	USD

		LCP-110853-EX	FLETES, EMBALAJES Y DERECHOS	NSA1896	24.04.2013	  1.466.119,00	USD
		LCP-110853-EX	FLETES, EMBALAJES Y DERECHOS	AA11549	11.07.2013	     96.300,00	USD

	*	Ejercicio 2013				  1.562.419,00	USD

		LCP-110853-EX-01	FLETES, EMBALAJES Y DERECHOS	NSA1896	24.04.2013	    327.181,00	USD

	*	Ejercicio 2013				    327.181,00	USD

		LCP-110853-EX-02	REWORK MOLDS IN CHILE	NSA1896	24.04.2013	    695.500,00	USD

	*	Ejercicio 2013				    695.500,00	USD

		LCP-110853-EX-03	BUILDING EQUIPMENT	NSA1896	24.04.2013	    379.174,00	USD

	*	Ejercicio 2013				    379.174,00	USD

		LCP-110853-EX-04	PREPARATION EQUIPMENT	NSA1896	24.04.2013	     52.922,00	USD

	*	Ejercicio 2013				     52.922,00	USD

		LCP-110853-EX-05	PRUBAS DE LABORATORIO	NSA1896	24.04.2013	      6.848,00	USD

	*	Ejercicio 2013				      6.848,00	USD

		LCP-110853-EX-06	TESTING NEW PRODUCTS	NSA1896	24.04.2013	      4.494,00	USD

	*	Ejercicio 2013				      4.494,00	USD

		LCP-110853-EX-07	CENTER SLEEVE 16 &17  FOR HVA R2	AA11549	11.07.2013	     96.300,00	USD

	*	Ejercicio 2013				     96.300,00	USD

		LCP-110915	WATER MATRIX ENLARGE FROM 1 1/2  TO 4	NSA1896	24.04.2013	    178.000,00	USD

	*	Ejercicio 2013				    178.000,00	USD

		LCP-110915-01	WATER RIGHTS PAYMENT	NSA1896	24.04.2013	    178.000,00	USD

	*	Ejercicio 2013				    178.000,00	USD

		LCP-110915-EX	NEW 4  MATRIX INSTALLATION	NSA1896	24.04.2013	     47.000,00	USD

	*	Ejercicio 2013				     47.000,00	USD

		LCP-110915-EX-01	NEW 4  MATRIX INSTALLATION	NSA1896	24.04.2013	     47.000,00	USD

	*	Ejercicio 2013				     47.000,00	USD

		LCP-110925	MIXER N4 GEARBOX REPLACEMENT	NSA1896	24.04.2013	    524.101,00	USD

	*	Ejercicio 2013				    524.101,00	USD

		LCP-110925-01	NEW GEARBOX + COUPLING	NSA1896	24.04.2013	    362.700,00	USD

	*	Ejercicio 2013				    362.700,00	USD

		LCP-110925-02	MECH.INST.UNMOUNTING & ASSEMBL	NSA1896	24.04.2013	     35.000,00	USD

	*	Ejercicio 2013				     35.000,00	USD

		LCP-110925-03	MECH.INST.ALIGNMENT	NSA1896	24.04.2013	     12.000,00	USD

	*	Ejercicio 2013				     12.000,00	USD

		LCP-110925-04	ELECTRICAL INST. UNMOUT ASSEMB	NSA1896	24.04.2013	     10.000,00	USD

	*	Ejercicio 2013				     10.000,00	USD

		LCP-110925-05	T/D/F	NSA1896	24.04.2013	     45.328,00	USD

	*	Ejercicio 2013				     45.328,00	USD

		LCP-110925-06	LUFKIN ENGINEER & GEARBOX SPEC	NSA1896	24.04.2013	     40.786,00	USD

	*	Ejercicio 2013				     40.786,00	USD

		LCP-110925-08	CONTINGENCIES 7%	NSA1896	24.04.2013	     18.287,00	USD

	*	Ejercicio 2013				     18.287,00	USD

		LCP-110925-EX	START UP	NSA1896	24.04.2013	      5.900,00	USD

	*	Ejercicio 2013				      5.900,00	USD

		LCP-110925-EX-01	START UP	NSA1896	24.04.2013	      5.640,00	USD

	*	Ejercicio 2013				      5.640,00	USD

		LCP-110925-EX-02	CONTINGENCIES 7% START UP	NSA1896	24.04.2013	        260,00	USD

	*	Ejercicio 2013				        260,00	USD

		LCP-111339-BV	CAMERON SLITTER	NSA1896	01.05.2013	     31.317,00	USD

	*	Ejercicio 2013				     31.317,00	USD

		LCP-111339-BV-01	CAMERON SLITTER	NSA1896	01.05.2013	     15.460,00	USD

	*	Ejercicio 2013				     15.460,00	USD

		LCP-111339-BV-02	QC FORCE MACHINE 10 FORCE VAR	NSA1896	01.05.2013	     13.010,00	USD

	*	Ejercicio 2013				     13.010,00	USD

		LCP-111339-BV-03	CONTINGENCIA BVT 10%	NSA1896	01.05.2013	      2.847,00	USD

	*	Ejercicio 2013				      2.847,00	USD

		LCP-111339-EX	TDF	NSA1896	01.05.2013	     11.000,00	USD

	*	Ejercicio 2013				     11.000,00	USD

		LCP-111339-EX-01	TDF	NSA1896	01.05.2013	     10.000,00	USD

	*	Ejercicio 2013				     10.000,00	USD

		LCP-111339-EX-02	CONTINGENCIA EXPENSES 10%	NSA1896	01.05.2013	      1.000,00	USD

	*	Ejercicio 2013				      1.000,00	USD

		LCP-120179	(28) FM MOLDS & SIDEWALLS SETS WAVE 6 PA	NSA1896	24.04.2013	    813.200,00	USD

	*	Ejercicio 2013				    813.200,00	USD

		LCP-120179-02	18 MOLDES FROM STATESVILLE NVO	NSA1896	24.04.2013	    770.400,00	USD

	*	Ejercicio 2013				    770.400,00	USD

		LCP-120179-05	RACK PARA MOLDES	NSA1896	24.04.2013	     42.800,00	USD

	*	Ejercicio 2013				     42.800,00	USD

		LCP-120179-BV	10 MOLDES FROM STATESVILLE	NSA1896	24.04.2013	    200.833,00	USD

	*	Ejercicio 2013				    200.833,00	USD

		LCP-120179-BV-01	10 MOLDES FROM STATESVILLE	NSA1896	24.04.2013	    200.833,00	USD

	*	Ejercicio 2013				    200.833,00	USD

		LCP-120179-EX	EXPENSES POR BVT	NSA1896	24.04.2013	    630.179,00	USD

	*	Ejercicio 2013				    630.179,00	USD

		LCP-120179-EX-01	EXPENSES POR BVT	NSA1896	24.04.2013	     80.894,00	USD

	*	Ejercicio 2013				     80.894,00	USD

		LCP-120179-EX-02	EXP.REWORK,ANILLOS ETC.	NSA1896	24.04.2013	    385.628,00	USD

	*	Ejercicio 2013				    385.628,00	USD

		LCP-120179-EX-03	TREAD,SW,APEX TOOLS	NSA1896	24.04.2013	     64.361,00	USD

	*	Ejercicio 2013				     64.361,00	USD

		LCP-120179-EX-04	FVM RING	NSA1896	24.04.2013	     94.802,00	USD

	*	Ejercicio 2013				     94.802,00	USD

		LCP-120179-EX-05	TESTING NEW PRODUCT	NSA1896	24.04.2013	      4.494,00	USD

	*	Ejercicio 2013				      4.494,00	USD

		LCP-120246	CLOSED CIRCUIT TV SYSTEM FOR SECURITY	NSA1896	24.04.2013	    103.750,00	USD

	*	Ejercicio 2013				    103.750,00	USD

		LCP-120246-01	ENGINEERING DEVELOPMENT	NSA1896	24.04.2013	      2.976,36	USD

	*	Ejercicio 2013				      2.976,36	USD

		LCP-120246-02	EQUIPMENT (CAMERAS)	NSA1896	24.04.2013	      5.952,72	USD

	*	Ejercicio 2013				      5.952,72	USD

		LCP-120246-03	METERIAL SUPPLY	NSA1896	24.04.2013	      5.952,72	USD

	*	Ejercicio 2013				      5.952,72	USD

		LCP-120246-04	MACHINE RENT	NSA1896	24.04.2013	      2.976,36	USD

	*	Ejercicio 2013				      2.976,36	USD

		LCP-120246-05	INSTALLATION	NSA1896	24.04.2013	     85.891,84	USD

	*	Ejercicio 2013				     85.891,84	USD

		LCP-120275	NEW DEAERATOR FOR POWERHOUSE	NSA1896	24.04.2013	    181.000,00	USD

	*	Ejercicio 2013				    181.000,00	USD

		LCP-120275-31	COMPRESORES DE AIRE	NSA1896	24.04.2013	    181.000,00	USD

	*	Ejercicio 2013				    181.000,00	USD

		LCP-120287-BV	97 MOLDES TRANSF. STATESVILLE	NSA1896	24.04.2013	  1.146.207,00	USD

	*	Ejercicio 2013				  1.146.207,00	USD

		LCP-120287-BV-01	97 MOLDES TRANSF. STATESVILLE	NSA1896	24.04.2013	  1.071.222,00	USD

	*	Ejercicio 2013				  1.071.222,00	USD

		LCP-120287-BV-02	CONTINGENCIA BVT	NSA1896	24.04.2013	     74.985,00	USD

	*	Ejercicio 2013				     74.985,00	USD

		LCP-120287-EX	EXPENSES POR TRANSF.DE 97 MOLD	NSA1896	24.04.2013	    119.751,00	USD

	*	Ejercicio 2013				    119.751,00	USD

		LCP-120287-EX-01	EXPENSES POR TRANSF.DE 97 MOLD	NSA1896	24.04.2013	    111.917,00	USD

	*	Ejercicio 2013				    111.917,00	USD

		LCP-120287-EX-02	CONTINGENCIA EXPENSES	NSA1896	24.04.2013	      7.834,00	USD

	*	Ejercicio 2013				      7.834,00	USD

		LCP-120288-BV	32 MOLDES TRSNF. STATESVILLE	NSA1896	24.04.2013	    636.211,00	USD

	*	Ejercicio 2013				    636.211,00	USD

		LCP-120288-BV-01	32 MOLDES TRSNF. STATESVILLE	NSA1896	24.04.2013	    594.590,00	USD

	*	Ejercicio 2013				    594.590,00	USD

